# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = fastbreak_model
# start_datetime = 2025-10-05 00:42:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = sine_data.json
# init = 2 (Default)
# random
#   seed = 3103514897 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,psi.1,psi.2,psi.3,psi.4
# Adaptation terminated
# Step size = 0.0171387
# Diagonal elements of inverse mass matrix:
# 0.00238716, 0.158083, 0.857078, 0.987253, 0.2091, 0.280006, 0.632137, 0.00120071, 0.00116149, 0.00131869, 0.00236363
-118.38852,0.99797364,0.017138713,8,255,0,123.42008,1.04317,0.15751228,7.6137988,-15.880084,16.21857,-15.612092,14.290923,0.80818446,2.3459981,3.9094671,5.4734876
-120.69457,0.93639813,0.017138713,8,255,0,123.43063,1.0424447,-0.4767592,8.7528845,-16.943159,16.101242,-15.837078,14.563163,0.79046664,2.356834,3.9430683,5.4479859
-120.20847,0.96562467,0.017138713,8,255,0,125.28862,0.96223342,-0.053751965,7.7960188,-16.007423,16.111077,-15.731195,13.846439,0.81930364,2.3790971,3.9461846,5.449466
-121.64332,0.99473015,0.017138713,8,255,0,127.38987,0.9810507,0.64838604,7.1408579,-15.078277,15.954157,-15.318683,11.458785,0.783882,2.3685535,3.9132242,5.4265535
-121.38775,0.94788394,0.017138713,8,255,0,126.82293,1.0297602,-0.17246486,7.5332016,-15.871442,16.672529,-15.725431,11.229675,0.83112554,2.3594209,3.8714381,5.3526708
-120.10932,0.6588141,0.017138713,8,255,0,127.49189,1.0438442,0.39531533,7.3326606,-16.252365,16.560038,-15.218915,12.832739,0.83570271,2.3090318,3.9317842,5.447262
-119.6181,0.94501549,0.017138713,8,255,0,124.30268,1.031131,0.27502097,7.3113287,-16.147755,16.697001,-15.32207,13.407072,0.84207426,2.3228811,3.9025193,5.4528711
-126.49328,0.96040616,0.017138713,8,255,0,131.91897,1.0045084,-0.056426538,7.6228041,-16.434593,16.87885,-15.246504,10.94629,0.83558556,2.3422055,3.8964553,5.3666238
-122.47681,0.99970176,0.017138713,5,63,0,130.00181,1.0009058,-0.019419018,7.8226779,-16.564886,16.651308,-15.340596,11.254368,0.85317601,2.3391859,3.9053157,5.4049269
-120.80353,0.99140243,0.017138713,5,31,0,126.25409,1.0024145,-0.24327692,7.520762,-16.151676,16.552331,-15.355349,11.570862,0.85732655,2.3386052,3.9004746,5.373833
-120.9093,0.97354865,0.017138713,8,255,0,127.67921,0.9638875,0.12318452,7.2867186,-15.016658,16.119684,-16.034397,14.089793,0.80140893,2.3885952,3.8761796,5.4560073
-120.56085,0.97993505,0.017138713,8,255,0,123.16435,1.0472692,-0.32738267,7.7475629,-16.554244,16.562521,-15.464206,11.897427,0.84869863,2.304854,3.9261633,5.3828575
-126.31211,0.80917077,0.017138713,8,255,0,130.25885,1.0126733,0.20245044,7.2685936,-16.910798,17.520109,-15.737497,12.183203,0.86583765,2.2497933,3.9048144,5.3460518
-120.97081,0.99997863,0.017138713,8,255,0,129.91858,1.0235455,0.30629794,7.4918498,-15.041716,15.590323,-15.456778,13.743488,0.77007941,2.3959569,3.9112082,5.5104008
-122.21717,0.99839932,0.017138713,8,255,0,126.69626,1.0532767,-0.13515239,8.0970598,-15.612227,16.257295,-16.165315,13.354576,0.759707,2.4307969,3.8705877,5.4446715
-119.952,0.96257426,0.017138713,9,511,0,126.03898,1.033707,0.64257886,6.4023281,-15.099445,16.009141,-14.862712,12.849662,0.85815911,2.2883405,3.952724,5.4448823
-120.83419,0.96516155,0.017138713,8,255,0,127.77657,1.0886324,0.60209913,6.9765559,-15.672635,17.177219,-16.238235,12.483997,0.83279141,2.357425,3.8971477,5.3878164
